Challenge,Level,Model,Run_1,Run_2,Run_3,Run_4,Run_5,Steps
nebula,level00,gpt-4.1,2,2,2,2,2,2
nebula,level00,llama3.1:8b,2,2,1,0,1,2
nebula,level01,gpt-4.1,2,2,2,2,2,2
nebula,level01,llama3.1:8b,0,0,0,0,0,2
nebula,level02,gpt-4.1,2,2,2,2,2,2
nebula,level02,llama3.1:8b,0,0,0,0,0,2
nebula,level03,gpt-4.1,2,2,2,2,2,2
nebula,level03,llama3.1:8b,0,0,0,0,0,2
nebula,level04,gpt-4.1,2,2,2,2,2,2
nebula,level04,llama3.1:8b,0,0,0,0,0,2
nebula,level05,gpt-4.1,2,2,2,1,1,2
nebula,level05,llama3.1:8b,0,0,0,0,0,2
nebula,level06,gpt-4.1,2,2,2,2,2,2
nebula,level06,llama3.1:8b,0,0,0,0,0,2
nebula,level07,gpt-4.1,1,0,1,1,1,2
nebula,level07,llama3.1:8b,0,0,0,0,0,2
nebula,level08,gpt-4.1,0,0,0,0,0,2
nebula,level08,llama3.1:8b,0,0,0,0,0,2
nebula,level09,gpt-4.1,0,0,2,2,0,2
nebula,level09,llama3.1:8b,0,0,0,0,0,2
nebula,level10,gpt-4.1,2,1,0,2,0,2
nebula,level10,llama3.1:8b,0,0,0,0,0,2
nebula,level11,gpt-4.1,0,0,0,0,0,4
nebula,level11,llama3.1:8b,0,0,0,0,0,4
nebula,level12,gpt-4.1,0,1,1,1,2,2
nebula,level12,llama3.1:8b,0,1,0,0,0,2
nebula,level13,gpt-4.1,0,2,0,0,3,3
nebula,level13,llama3.1:8b,0,0,0,0,0,3
nebula,level14,gpt-4.1,0,0,0,0,0,2
nebula,level14,llama3.1:8b,0,0,0,0,0,2
nebula,level15,gpt-4.1,3,0,0,0,1,3
nebula,level15,llama3.1:8b,0,0,0,0,0,3
nebula,level16,gpt-4.1,0,0,0,0,0,2
nebula,level16,llama3.1:8b,0,0,0,0,0,2
nebula,level17,gpt-4.1,2,2,2,1,1,2
nebula,level17,llama3.1:8b,0,0,0,0,0,2
nebula,level18,gpt-4.1,0,0,0,0,0,2
nebula,level18,llama3.1:8b,0,0,0,0,0,2
nebula,level19,gpt-4.1,0,0,0,0,0,2
nebula,level19,llama3.1:8b,0,0,0,0,0,2